           x [cm]           y [cm]           z [cm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
             -2.5             -4.8                0        -4852.561                0        5724.6118                0         14406492                0
             -2.4             -4.8                0       -9178.2861                0        9397.9033                0         11558442                0
             -2.3             -4.8                0       -7285.3115                0         12060.44                0          8695085                0
             -2.2             -4.8                0        94.730469                0        12255.869                0          5857059                0
             -2.1             -4.8                0         5019.334                0         6043.522                0        3065554.5                0
               -2             -4.8                0        6091.3809                0        2595.2998                0        309343.75                0
             -1.9             -4.8                0        3310.8853                0        1911.1858                0         -2411585                0
             -1.8             -4.8                0        1556.6038                0       -1226.3838                0         -5059331                0
             -1.7             -4.8                0        3595.2046                0       -3323.9893                0         -7630685                0
             -1.6             -4.8                0        9044.5078                0       -3373.1975                0        -10130322                0
             -1.5             -4.8                0        14762.808                0        1982.2404                0        -12567740                0
             -1.4             -4.8                0        19098.799                0         14230.93                0        -14930920                0
             -1.3             -4.8                0        26988.717                0        35712.113                0        -17142854                0
             -1.2             -4.8                0        16854.195                0        31044.336                0        -19211460                0
             -1.1             -4.8                0        5513.5654                0        19454.348                0        -21156192                0
               -1             -4.8                0       -2256.2354                0        7160.7559                0        -22983682                0
             -0.9             -4.8                0       -7652.9966                0        1155.7078                0        -24645634                0
             -0.8             -4.8                0       -11108.484                0        3976.2822                0        -26110452                0
             -0.7             -4.8                0       -10909.477                0        5628.3521                0        -27441364                0
             -0.6             -4.8                0       -7278.2954                0        5949.8882                0        -28637926                0
             -0.5             -4.8                0       -9982.3672                0        354.24371                0        -29679716                0
             -0.4             -4.8                0       -10185.857                0        428.03912                0        -30493092                0
             -0.3             -4.8                0       -6378.9595                0       -907.38403                0        -31105408                0
             -0.2             -4.8                0        2114.7861                0       -1334.0624                0        -31561336                0
             -0.1             -4.8                0        19304.027                0       -1722.3364                0        -31864852                0
                0             -4.8                0       -45188.773                0       -2072.2036                0        -32015952                0
              0.1             -4.8                0       -19304.027                0       -1722.3364                0        -31864852                0
              0.2             -4.8                0       -2114.7861                0       -1334.0624                0        -31561336                0
              0.3             -4.8                0        6378.9595                0       -907.38403                0        -31105408                0
              0.4             -4.8                0        10185.857                0        428.03912                0        -30493092                0
              0.5             -4.8                0        9982.3672                0        354.24371                0        -29679716                0
              0.6             -4.8                0        7278.2954                0        5949.8882                0        -28637926                0
              0.7             -4.8                0        10909.477                0        5628.3521                0        -27441364                0
              0.8             -4.8                0        11108.484                0        3976.2822                0        -26110452                0
              0.9             -4.8                0        7652.9966                0        1155.7078                0        -24645634                0
                1             -4.8                0        2256.2354                0        7160.7559                0        -22983682                0
              1.1             -4.8                0       -5513.5654                0        19454.348                0        -21156192                0
              1.2             -4.8                0       -16854.195                0        31044.336                0        -19211460                0
              1.3             -4.8                0       -26988.717                0        35712.113                0        -17142854                0
              1.4             -4.8                0       -19098.799                0         14230.93                0        -14930920                0
              1.5             -4.8                0       -14762.808                0        1982.2404                0        -12567740                0
              1.6             -4.8                0       -9044.5078                0       -3373.1975                0        -10130322                0
              1.7             -4.8                0       -3595.2046                0       -3323.9893                0         -7630685                0
              1.8             -4.8                0       -1556.6038                0       -1226.3838                0         -5059331                0
              1.9             -4.8                0       -3310.8853                0        1911.1858                0         -2411585                0
                2             -4.8                0       -6091.3809                0        2595.2998                0        309343.75                0
              2.1             -4.8                0        -5019.334                0         6043.522                0        3065554.5                0
              2.2             -4.8                0       -94.730469                0        12255.869                0          5857059                0
              2.3             -4.8                0        7285.3115                0         12060.44                0          8695085                0
              2.4             -4.8                0        9178.2861                0        9397.9033                0         11558442                0
              2.5             -4.8                0         4852.561                0        5724.6118                0         14406492                0
              2.6             -4.8                0       -2294.3418                0        -1241.949                0         17196690                0
              2.7             -4.8                0       -7258.2915                0       -3438.3765                0         19968792                0
              2.8             -4.8                0       -10039.261                0       -864.65808                0         22722782                0
              2.9             -4.8                0       -3557.9397                0       -4975.9229                0         25422174                0
                3             -4.8                0        3595.2097                0       -9581.3867                0         28063040                0
              3.1             -4.8                0        8315.1016                0       -10930.859                0         30652820                0
              3.2             -4.8                0         6082.248                0       -3821.4316                0         33179532                0
              3.3             -4.8                0        1254.8152                0        2926.0276                0         35606412                0
              3.4             -4.8                0       -72.174927                0        5587.0786                0         37908868                0
              3.5             -4.8                0        7445.6157                0        7876.1455                0         40132400                0
              3.6             -4.8                0        14324.544                0        9834.6816                0         42232660                0
