           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
              2.3             -4.8                0                0        48861.641                0       -65248.328                0       -15.678379
              2.4             -4.8                0                0        49268.184                0       -66767.312                0        -8.100255
              2.5             -4.8                0                0        49680.039                0       -67979.445                0       -3.9882035
              2.6             -4.8                0                0        49952.094                0       -69093.203                0        2.8818219
              2.7             -4.8                0                0        50245.711                0        -70164.75                0         4.356884
              2.8             -4.8                0                0        50560.898                0       -71194.078                0       0.43697402
              2.9             -4.8                0                0         50929.59                0       -71801.836                0       0.52059531
                3             -4.8                0                0        51328.207                0       -72246.734                0        1.7500345
              3.1             -4.8                0                0         51742.02                0       -72651.031                0        1.6084098
              3.2             -4.8                0                0        52084.516                0       -72994.938                0       0.97872162
              3.3             -4.8                0                0        52454.434                0       -73106.039                0       0.54468024
              3.4             -4.8                0                0        52851.902                0       -72908.523                0        1.2526804
              3.5             -4.8                0                0         53219.91                0       -72663.727                0       0.95271647
              3.6             -4.8                0                0        53427.398                0       -72321.016                0      -0.63902992
